STARTEPISODE_TRIAL_1 (1:38)
ENDEPISODE_TRIAL_1 (2:38)
STARTEPISODE_TRIAL_2 (2:39)
ENDEPISODE_TRIAL_2 (3:41)
STARTEPISODE_ACTUAL_1 (4:11)
ENDEPISODE_ACTUAL_1 (4:55)
STARTEPISODE_ACTUAL_2 (4:57)
ENDEPISODE_ACTUAL_2 (5:41)
STARTEPISODE_ACTUAL_3 (5:42)
ENDEPISODE_ACTUAL_3 (6:31)
STARTEPISODE_ACTUAL_4 (6:32)
ENDEPISODE_ACTUAL_4 (7:18)
STARTEPISODE_ACTUAL_5 (7:20)
ENDEPISODE_ACTUAL_5 (8:05)
STARTEPISODE_ACTUAL_6 (8:07)
ENDEPISODE_ACTUAL_6 (8:59)
STARTEPISODE_ACTUAL_7 (9:01)
ENDEPISODE_ACTUAL_7 (10:15)
STARTEPISODE_ACTUAL_8 (10:16)
ENDEPISODE_ACTUAL_8 (11:10)
STARTEPISODE_ACTUAL_9 (11:11)
ENDEPISODE_ACTUAL_9 (11:28)
STARTEPISODE_ACTUAL_10 (11:29)
ENDEPISODE_ACTUAL_10 (12:31)
STARTEPISODE_ACTUAL_11 (12:32)
*(12:53) participant: no.
*(13:21) participant: dang it. i don't know why i keep saying like these. like, black eyes keep guys.
ENDEPISODE_ACTUAL_11 (13:26)
STARTEPISODE_ACTUAL_12 (13:27)
ENDEPISODE_ACTUAL_12 (14:32)
STARTEPISODE_ACTUAL_13 (14:33)
ENDEPISODE_ACTUAL_13 (15:34)
STARTEPISODE_ACTUAL_14 (15:35)
ENDEPISODE_ACTUAL_14 (16:42)
